KCH,avg_pjf,avg_yxl,avg_aplus,max_aplus,max_yxl,min_yxl,avg_xkrs,avg_jgl,min_jgl
1003280001,75.28,0.0,0.0,0,0.0,0.0,18.0,100.0,100.0
1003290001,87.0,5.56,1.0,1,5.56,5.56,18.0,100.0,100.0
1003400001,82.885,7.04,2.0,2,7.41,6.67,28.5,100.0,100.0
1003410001,78.54499999999999,1.85,0.5,1,3.7,0.0,29.5,100.0,100.0
1003420001,72.91,0.0,0.0,0,0.0,0.0,32.0,100.0,100.0
0507330001,85.88,12.5,2.0,2,12.5,12.5,16.0,100.0,100.0
1003430001,78.18666666666667,4.713333333333334,1.6666666666666667,3,7.89,0.0,33.333333333333336,100.0,100.0
1003480001,82.07499999999999,9.77,2.5,3,11.54,8.0,25.5,100.0,100.0
2701000026,75.84,13.16,5.0,5,13.16,13.16,38.0,100.0,100.0
0201990003,78.77,0.0,0.0,0,0.0,0.0,47.0,100.0,100.0
0000040001,80.5,0.0,0.0,0,0.0,0.0,1.5,100.0,100.0
2201990030,87.07,6.9,2.0,2,6.9,6.9,29.0,100.0,100.0
2201990011,86.08,8.705,2.5,3,10.0,7.41,28.5,100.0,100.0
0402080001,79.545,0.255,0.5,1,0.51,0.0,98.0,100.0,100.0
1003520001,75.05,2.63,1.0,1,2.63,2.63,38.0,100.0,100.0
0111970001,66.555,0.0,0.0,0,0.0,0.0,31.5,100.0,100.0
2401110001,81.28,8.97,7.0,7,8.97,8.97,77.0,100.0,100.0
2201990040,75.59,0.0,0.0,0,0.0,0.0,32.0,100.0,100.0
1501990012,67.73,13.33,2.0,2,13.33,13.33,15.0,100.0,100.0
30110012,79.18,2.63,1.0,1,2.63,2.63,37.0,100.0,100.0
0501990014,87.15,10.0,2.0,2,10.0,10.0,20.0,100.0,100.0
0904890001,65.83,4.35,2.0,2,4.35,4.35,46.0,100.0,100.0
0510680001,74.85,0.0,0.0,0,0.0,0.0,13.0,100.0,100.0
0710890001,84.72,5.56,1.0,1,5.56,5.56,18.0,100.0,100.0
1801380001R,81.6,20.0,3.0,3,30.0,10.0,20.0,100.0,100.0
1229860001,90.0,0.0,0.0,0,0.0,0.0,15.0,100.0,100.0
0301990005,81.2,10.0,1.0,1,10.0,10.0,10.0,100.0,100.0
1201980030,80.84,0.0,0.0,0,0.0,0.0,51.0,100.0,100.0
6300120001,93.2,62.0,31.0,31,62.0,62.0,50.0,100.0,100.0
30110016,89.47,11.11,5.0,5,11.11,11.11,45.0,100.0,100.0
1101980026,72.04,2.63,4.0,4,2.63,2.63,152.0,100.0,100.0
14110003,83.45,6.9,2.0,2,6.9,6.9,29.0,100.0,100.0
2300840001,68.65,12.5,0.5,1,25.0,0.0,5.0,100.0,100.0
1901990032,72.96,3.92,4.0,4,3.92,3.92,101.0,100.0,100.0
0412070001,81.91,4.245,1.5,3,9.38,0.0,33.0,100.0,100.0
0806390001,86.53,6.76,5.0,5,6.76,6.76,74.0,100.0,100.0
2701000004,70.15,1.52,3.0,3,1.52,1.52,183.0,100.0,100.0
0904780001,79.9,8.62,5.0,5,8.62,8.62,58.0,100.0,100.0
61110002,79.88,0.0,0.0,0,0.0,0.0,24.0,100.0,100.0
1229730001,81.76,0.0,0.0,0,0.0,0.0,50.0,100.0,100.0
