teachingClassID,courseNumber,courseName,teacherName,departmentName,teachingPlace,credit,hours,campusName
202120222050569000201,0505690002,剧本创意设计,李瑛晖,艺术学部,"1-7周 星期一 第1-4节 艺术学院L7-613,1-7周 星期三 第1-4节 艺术学院L7-613",2,54,粤海校区
202120222050570000101,0505700001,影视媒体综合实践,姚哲男,艺术学部,1-14周 星期二 第7-10节 艺术学院L7-517,2,54,粤海校区
202120222050573000101,0505730001,设计思维与表现,王晓鸣,艺术学部,"1-7周 星期二 第1-4节 艺术学院L7-517,1-7周 星期四 第7-10节 艺术学院L7-517",2,54,粤海校区
202120222050573000102,0505730001,设计思维与表现,巫濛,艺术学部,"1-7周 星期二 1-4节 艺术学院L7-715,1-7周 星期四 1-4节 艺术学院L7-715",2,54,粤海校区
202120222050573000103,0505730001,设计思维与表现,罗莹,艺术学部,"1-7周 星期三 第1-4节 艺术学院L7-714,1-7周 星期五 第1-4节 艺术学院L7-714",2,54,粤海校区
202120222050573000104,0505730001,设计思维与表现,钟秦阳子,艺术学部,"10-16周 星期三 第1-4节 艺术学院L7-724,10-16周 星期五 第1-4节 艺术学院L7-724",2,54,粤海校区
202120222050573000105,0505730001,设计思维与表现,钟秦阳子,艺术学部,"1-7周 星期三 第7-10节 艺术学院L7-724,1-7周 星期五 第7-10节 艺术学院L7-724",2,54,粤海校区
202120222050573000106,0505730001,设计思维与表现,黄以然,艺术学部,"1-7周 星期二 第1-4节 艺术学院L7-724,1-7周 星期四 第1-4节 艺术学院L7-724",2,54,粤海校区
202120222050575000201,0505750002,视觉传达与媒介表现,刘卓扬,艺术学部,"10-16周 星期四 第1-4节 艺术学院L7-716,10-16周 星期二 第1-4节 艺术学院L7-716",2,54,粤海校区
202120222050578000101,0505780001,数字剪辑,王晓鸣,艺术学部,1-14周 星期四 第11-14节 艺术学院L7-517,2,54,粤海校区
202120222050583000101,0505830001,插画,潘梦露,艺术学部,1-9周 星期四 第11-14节 艺术学院L7-717,2,36,粤海校区
202120222050596000101,0505960001,家纺用品设计,戴耕,艺术学部,"1-7周 星期三 第7-10节 艺术学院L7-717,1-7周 星期一 第7-10节 艺术学院L7-717",2,54,粤海校区
